Trade name,INCI,Other designations,Other preservative trade names,CAS#,Type,Formula layer,Organic formulation,Butter type,Preservative type,Surfactant type 1,Surfactant type 2,Plant part,Process,Scent,Perfume note,Color,Presentation,Appearance,Melting point °C,Viscosity,Density,Saponification value,Acid value,Molecular weight,Description,Composition,Characteristics,Functions,Aroma-psychology - promotes:,Aroma-psychology - counteracts:,Properties/actions,Uses,Type of formulation,Mask usage,Solubility,Solidifies at,Temperature stability,Absorption rate,Iodine value - highest,Iodine value - lowest,Iodine value,pH as supplied,Application pH,Stable within a pH range of,Recommended dosage,Heat sensitive,Formulation tips,Heat and hold,Hazards / Safety data,Shelf life,Storage,Conservation tips,Co-X,Interchangeable with,Use with suggested chelator,Use with following preservatives,Compatibility with other surfactants,Incompatibility,Attention,Docs.,Photo(s),Link #1,Link #2,Studies,Stock,Notes,Alpha-Linolenic Acid avg,Arachidic Acid avg,Arachidonic Acid avg,Behenic Acid avg,Brassic Acid avg,Capric Acid avg,Caproic Acid avg,Caprylic Acid avg,Eicosadienoic Acid avg,Eicosatrienoic Acid avg,Elaidic Acid avg,Eleostearic Acid avg,Erucic Acid avg,Gadoleic/9-Eicosenoic Acid avg,Gamma-Linolenic Acid avg,Gondoic/11-Eicosenoic Acid avg,Lauric Acid avg,Lignoceric/Tetracosanoic Acid avg,Linoleic Acid avg,Myristic Acid avg,Nervonic Acid avg,Oleic Acid avg,Palmitic Acid avg,Palmitoleic Acid avg,Punicic Acid avg,Ricinoleic Acid avg,Stearic Acid avg,Stearidonic Acid avg,Vaccenic Acid avg,Unsaponifiables avg,Oil high in...,Blends well with,Stock origin,Active matter,Clay type,Safety - Therapeutic status,Safety - Skin irritation,Safety - Skin sensitization,Safety - Skin photosensitization,Dryness,Emulsion type,Use with,pH modifier
Lavender,Lavandula spp.,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,"2017-07-02 22.43.56.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/t1QJIB-rMXGxjg0iW7O6cQ/540_fM17TmmqgRV7C3zi5W0XGW38R78PpjfySVeaM1pz8clQH9FKuzEMnaW2JarVWeG_AvP8-SoFJbtsU-DxhSS72IVpmwnwHokkoyhWBG4/dons7XtH1Vor749KC3lhbuJomvASrgqjuaz31-0NIo8),2017-08-20 12.21.48.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/_CqI0qjR6hheZ8_jlF190w/wIAIAFjb0x4dfKyzvAvTRAwiKd4mzRV7dePnfYoN2tX070JdnyNjPiYnqfHZ38jG8vJUaYCWE2LjrajHVdRnJwCIZOWXfXsIRmUeWY0b9Gc/SgtK3ob4ZmgMLXM-Uw2mPclyCQUza3CFzcPtXDCByqo)",,,,,"“One of our most familiar and favorite herbs, lavender adds its clean floral scent and calm, relaxing properties to hundreds, if not thousands, of different skin care products, herb formulas, and cleansing agents. Lavender’s antiseptic and anti-inflammatory properties make it useful for burns, rashes, and irritated and damaged skin, and it is commonly used as a healing agent in creams, lotions, and salves. It has cell-regenerating properties and is used for reducing wrinkles, scarring, and stretch marks. It is also an excellent calming and relaxing herb and is popular in herbal baths. Note: There are many different varieties of lavender, but Lavandula angustifolia is generally considered the best quality for medicinal and cosmetic purposes.”

Excerpt From: Gladstar, Rosemary. “Herbs for Natural Beauty.” Storey Publishing, LLC, 2014-10-06T14:55:14Z. iBooks. 
This material may be protected by copyright.

---
Chinese medicine believes that lavender can purify mind, relieve stress and anxiety, strengthen immune system, lower blood pressure, and treat insomnia and headache.  The herb can be used with roses, marigolds, sage, chamomile, violet, mint, or jasmine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender (Spike) EO,Lavandula latifolia,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,flowers,steam distilled,"Camphoraceous,Flowery,Herbaceous,Sweet",Middle,Clear,,,,thin,,,,,"Think of that incredible aroma that fills the air of a day spa. A few calming breaths and you start feeling like everything is going to be okay and life is actually quite miraculous after all. That’s what Spike Lavender is. It’s a bottle of “you’re okay and everything is going to be just fine.”

Cultivated in France, (the fanciest farming location), Spike Lavender has camphor-like nuances similar to Eucalyptus and Rosemary underpinned by the tranquil beauty of florals. Spike Lavender inspires peace and calm and also works amazingly as an antibacterial and antiseptic.

Lavender is an evergreen plant that grows to about 3 feet and produces gorgeous lilac-colored flowers. To extract the oil, the flowers are put through a steam distillation process. Spike Lavender is special in a way that requires regular use. Try mixing it with Geranium or Rose to craft a fragrance entirely your own.
(Edens Garden)",,,,,,"antibacterial,antiviral","dull skin,hair loss,wounds; scratches",,,,,,,,,,,,,,❌,,,Not to be used during pregnancy and lactation.,,,,,,,,,,,,Lavender (Spike).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/7SLK2_weuW1mWQlmHNdaUw/gV5qZUaemzW96lrsNheJ3c1wAbWR_C2mDmsftWduMkpLGJRtLogItTXJRJn3LerdoRVx9-23F-0gikwKunv02KxCt991qc3E5HmOhsxH49C2IJ-3Df7axR6R5g6_OGDUz4w-ZG-NOls88Wd30yoc5A/MoJxFYwDHYd6FpP-iwr43M4YZheCAqdIZ2zfnE9zvvg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild with no chronic cumulative toxicity,,Mild,Not photosensitizing,,,,
Lavender EO,Lavendula angustifolia,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,flowering tops,steam distilled,"Clean,Floral,Fresh,Herbaceous,Light","Top,Middle",Clear,,,,thin,,,,,,,"Medium intensity scent,Poor persistence scent",,"acceptance,alertness,balance,calm,comfort,harmony,mental clarity,peace,relaxation,security,vitality","agitation,anxiety,burnout,conflict,confusion,depression,depression with anxiety or agitation,disconnection,distraction,exhaustion,fear,insecurity,insomnia,irritability,mood swings,moodiness,negativity,nervous tension,nightmares,palpitations,panic,phobia,restless sleep,restlessness,shock,stress,trauma,worry","anti-inflammatory,antibacterial,antifungal,calming; soothing,ease itchy bug bites,relaxing,relieves itchy skin","after-sun,allergic dermatitis,burns,combination skin,dry skin,eczema,fungal infections,hair loss,inflammation,insect bites,itching,oily skin,psoriasis,scabies,scars,sensitive skin,sunburn,wounds; scratches",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,molecules-15-03200.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/7CD2Rki0XPCJZzVXrOZpvw/MtvtLipTWNkvTRmwj7MOmA4K-dqWA7hxg5SNE51SeNPB54MZJCbsZGhDtbA-txYFQRRY4Ny1eBcpybKyESolCdIn1sjbnMIHwv0lMWBaIAE/O-ZOACR1nnDZ0Ul11mY5XO7F8EKsOVjZrTqx28BUCwk),Lavendula angustifolia.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/4XSlJOS-kTBKgZOJy1JsWg/oeIe3Pn0J1AHJquUUC3Q-7FaomvoT0RXUElmxe3A73I08QW5koCaERI73QApmHBhQmbUHiOrPQ29BLr0Scuu8-LwsySJ07MJS54Q1RiMlgqzvKwRn7EE4HaYKAfSH8Z2L9bji-fPX1l6VMkE5ZAu0X0wDeZQKyFlTMLPCOET8dA/Pw2zo9DtOEJ-Lq4frxBm0hFNY-Wq_kftXudmpoSzWeA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild with no chronic cumulative toxicity,,Mild,Not photosensitizing,,,,
Lavender; Vera Wild (Lavandula Angustifolia) hydrosol,Lavandula Angustifolia (Lavender) Flower Water,,,,Hydrosol,Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,☠️ Lavender; Vera Wild (Lavandula Angustifolia) hydrosol / 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecithin (Soy),Lecithin (Soy),,,,Surfactant,Functional,Accepted,,,Emulsifier,,,,,,,,,,,,,,,,,,penetration enhancer,,,skin penetration enhancer,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon EO,Citrus limon,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,peel,cold pressed,"Bright,Citrusy,Clean,Fresh,Light",Top,"Pale yellow,Light green",,,,thin,,,,,,,"Medium intensity scent,Poor persistence scent",,"alertness,awareness,calm,concentration,emotional clarity,joy,memory,mental clarity,strength","confusion,depression,distraction,fatigue,fear,indecision,lack of concentration,lethargy,loss of good judgement,negative thoughts,pessimism,poor short-term memory,procrastination,resentment,stress","anti-dandruff,antibacterial,antifungal,antimicrobial,antiseptic,antiviral,astringent,cicatrisant,insecticidal,invigorating,reduces the appearance of pores,revitalising,stimulating,toning","acne-prone skin,arthritis,boils,cellulite,combination skin,cuts,dilated pores,dull skin,eczema,fungal infections,hair - dandruff,hair growth,herpes,improves skin tone,insect bites,normal skin,oily skin,warts",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Citrus limon.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/-2llSmRyqVkJaXOLDnST3w/hOl6MOMG5Y-EtM5iZ5Q849MD2G72bHI8clUK02yM2MG2C-jHhObn6lQqvYsGXrwCWuMg5XcDjJHFuuzWe1uKTw12JW93nQgw1OEGOoh_gSohZ-yvxOOvDOmcH_u8sgBRdvAflaqrMWWL7Py2Kqil_g/EpBTch4NwRc-zL_vznN5ouT2PA0Yn6q--Hn5dMeOfxw),,,,☠️ Lemon EO / 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ylang Ylang nr. 1 EO,Sandalwood (Royal Hawaiian) organic EO,Sandalwood (Australian) EO,Rose (Bulgarian) Absolute,Oakmoss absolute,Neroli EO,Lavender; Vera Wild (Lavandula Angustifolia) hydrosol,Lavender EO,Lavender,Labdanum Absolute,Juniper Berry EO,Geranium EO,Fennel (Sweet) EO,Eucalyptus (Globulus) EO,Elemi EO,Chamomile (Roman) EO,Benzoin",Italy,,,,Mild,,Not photosensitizing,,,,
Lemongrass EO,Cymbopogon flexuosus or Cymbopogon citratus,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,leaves,steam distilled,Green,"Top,Middle",,,,,,,,,,,,"Medium intensity scent,Poor persistence scent",,,"confusion,depression,distraction,fatigue,insomnia,lack of concentration,negative thoughts,pessimism,poor discernment,poor short-term memory,procrastination","antibacterial,antifungal,deodorant,reduces the appearance of pores,sedative,stops excessive perspiration,toning","acne-prone skin,athlete's foot,candida infections,cellulite,cold sores,deodorant,dilated pores,dull skin,excessive perspiration,fungal infections,improves skin tone,mature skin,oily skin,premature aging",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Lemongrass.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/MAlATkmuVIB0JdSZ9v5uhA/yiu3skO6r5dBvLhT17I9Xyi7bRXru5txMedLiBAF0EepSVltED2aWvQlQdVgTLBdpxjl5NyU-LKkPYCxWrhZiowSnozn8vI2J4g0Z7CC5GdiJktJcmjxCpN6ruqmIF2u6gmMx25Oh4qwVUBTFns9CQ/Uwe6qHOpSn9Bqti5CDbFpJiZaAF-RoXn93QRXHm5whI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Moderate,Not photosensitizing,,,,
Leucidal Liquid Complete,Leuconostoc/Radish Root Ferment Filtrate& Lactobacillus & Cocos Nucifera (Coconut) Fruit Extract,,,,Preservative,Additive,Accepted,,Not broad spectrum for emulsions,,,,,,,,,,,,,,,,Cationic preservative.,,,,,,,,,,Water,,< 70oC,,,,,,,8-Mar,2 - 4%,❌,,,,,,,,,Dermofeel PA-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucidal Liquid SF,Lactobacillus Ferment,,,,Preservative,Additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LexFeel® Natural ,Heptyl Undecylenate,,,,Vegetable oil,Foundation,Accepted,,,,,,,Odorless,,Clear,,Clear  liquid,,,,,,,"LexFeel® Natural is an extremely light and dry emollient suitable for natural products. It is 100% vegetable derived, and is derived from castor oil. LexFeel® Natural can be used in sunscreens moisturizers, lotions, make-up and antiperspirants. It is a natural alternative to synthetic fluids such as cyclomethicone and mineral oils. It can be combined with natural oils to reduce the greasiness of such materials. It can be used for skin care, hair care, color cosmetics, antiperspirants, and fragrance sprays. (ulProspector)

LexFeel® Natural a natural and plant based ester-oil with a nice dry feel and excellent emolliency. It can substitute oils in products when a dry emolliency and light feel is wished. In hair care products it imparts shine, conditioning and anti-frizz without any build-up and unwanted greasiness. It's the first fully natural, plant based, ecocertified and palm-free (based on castor oil) ingredient on the market. It is a versatile ingredient with outstanding thermal and oxidation stability, fully miscible and compatible with plant oils and could easily replace any plant oil in th eformulation.

LexFeel® Natural could be applied up to 100% of the oil phase in a formulation. It imparts shine, dry feel, lubricity without greasiness to all personal care products from baby products to men's toletries, sun care and after sun, decorative cosmetics, deodorant, and all hair, bath and body care products.

Whenever you want an oily carrier with a dry feel and low greasiness such as a hair oil, shower oil or leave-on body oil, decorative cosmetics and deodorants, you can replace a part of, or all of your oil phase with LexFeel® Natural. (Skin Chakra)",,,reduce greasiness,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice Root Extract - glycerite,Glycerin (and) Water (and) Glycyrrhiza Glabra (Licorice) Root Extract,,,,Active,Active botanicals,Accepted,,,,,,,,,Light brown,Liquid,Pale Brown slightly turbid liquid with characteristic odor ,,,,,,,"Country of Origin: Spain 

Produced from the roots and rhizomes of the Glycyrrhiza glabra plant, Licorice Root has a long history of use as an anti-irritant and anti-inflammatory. It's been used extensively in Europe and the US as a soothing ingredient in cough suppressants and is often used in Traditional Chinese medicine as an herbal healing agent.

Licorice Root is a multi-functional botanical, whose chief components include the glycosides glycyrrhizin and glycyrrizinic acid, triterpene saponins and flavonoids. Recent research indicates Licorice Root Extract shows promise as a soothing ingredient for the relief of eczema. Studies have shown it may be of benefit in skin lightening products as it contains liquiritin and isoliquertin, flavonoid containing glycosides which induce skin lightening by dispersing melanin pigment and enhancing more even pigment distribution.

Glycerin Source: Brassica campestris - PALM FREE ","Glycerin (and) Water (and) Glycyrrhiza Glabra (Licorice) Root Extract

Our Licorice Root Extract is a standardized extract of the roots of Glycrrhiza glabra obtained in a 50:50 medium of glycerin and water.

Preservative: Potassium Sorbate, Sodium Benzoate ",,,,,"anti-inflammatory,calming; soothing,hyperpigmentation; skin lightener","hair color protection,redness; rosacea; blemishes,sensitive skin",,,Water,,,,,,,,,,2 - 5%,❌,,,,,room temperature,"Storage: Protected from direct light and humidity at a temperature of 50°-77°F (10°-25°C) 

Shelf life: 18 months, properly stored, in sealed vessel.",,,,,,,,,licorice.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/8GM1rn5SdNOv05KaAKTXVg/7N4kLM-Z6tGK8eys8sq9X8IQy78fL71gZ4IAA8gleKA6qsnY9HMp4jYh1U4KlzI9OwO59RpvKLUlh3P2RavI2Jo5uJGvPaTKyyacxdNd-Mg/2buJnfl6Q-Q57wfiBk9SzLoaDOqPUtu1KYPWr0bM7oI),https://www.lotioncrafter.com/licorice-root-extract.html,,,☠️ Licorice Root Extract - glycerite / 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,,,,,,,,,,
Licorice root extract PF,Water & Glycyrrhiza Glabra (Licorice) Root Extract,,,,,Active botanicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily flower,Lilium,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,2017-08-20 12.30.04.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/Sl71Go3cmF4aHElNVX-CHA/13oJY6IjEyMsHWXHLd2moAX84S3cICuF20IsiS2aGn3aHlyN8pkj-EUkisyUcuXbTHhYxeCOcuQJOZk-sXh7sxZNjrU3r8SlTTnp_skHPik/CgNnIQlenqJHeoGX24ggM1IbZxJLg4cGjFC_GJtuenQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime EO,Citrus Aurantifolia,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,peel,steam distilled,,Top,,,,,,,,,,,,,,,,"antibacterial,calming; soothing,invigorating,stimulating,toning,uplifting","acne-prone skin,bacterial infections,body detox,oily skin,tired-looking skin,viral infections",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Citrus Aurantifolia.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/z3o7c2KOhN0IB44xn_45MA/XnXMj6TilRRiz_EH_DQLyokk8xUER4llzjQcI2mxFMCK7bK5qWHhhgv091I1UaxTj18_IH2Om4FAyQbxZY5jANZxLT1En6T_urrQUlj8vULiooEzg469vwlgyU_s0PhthcYKSkCDButx4vYaeEdB4J5fLo9mfJWE8zcjigVbrbU/8_ljxC06UOHzuGBi72kgtf3TBlBmR9UoGVm2SlUkZ90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Not photosensitizing,,,,
Liquid Germall Plus,Propylene Glycol (and) Diazolidinyl Urea (and) Iodopropynyl Butylcarbamate,,,,Preservative,Additive,Not accepted,,Broad spectrum,,,,,,,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-0.5,❌,Cool down phase.,,,,,,,,,,,,,,,,,,☠️ Liquid Germall Plus / 244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithothamne,Lithothamnium calcareum powder,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,"White,Light beige",Solid,Fine (micronized) white cream powder,,,,,,,"Cosmetic purifying, nutritive and remineralizing active ingredient

Very popular for remineralising devitalized, dry and damaged skin, Lithothamne is used in your preparations masks, bath salts, scrubs, soaps and wraps to bring a boost to your skin and get rid of its impurities while giving it back flexibility and softness.

In beauty, lithothamne marine active is recognized for these properties:
Power scrub and absorbing the Lithothamne purifies the skin.
Gentle exfoliant , it removes the skin of dead cells and impurities while restoring flexibility and softness.
Strong remineralizing action on the skin and the teeth. 
USES
Use as an ingredient in your preparations:

Care of tired and dull skin
Care of the mouth
Body care
Care of combination to oily skin
Care of problem skin

Lithothamne is a small red alga of the family Corallinaceae with a size of 2 cm. It has the property of crystallizing on its structure (its thallus) the mineral elements contained in the seawater which gives it the appearance of the coral.

Harvested more than 30 meters deep in the sandy bottom of some berries, the seaweed is then reduced to powder and used in cosmetics as well as nutritional supplement.","Lithothamne is harvested throughout the year off Paimpol in the Bay of St Brieuc which is characterized by the richness of its mineral waters through original currents. 
After harvest, 100% pure and natural. Cosmetic and food quality. Non-irradiated, non-ionized

Lithothamne is micronized. 
Micronization is a physical process that grinds granules to a very fine powder.

- Minerals and trace elements: contribute to the balance of the skin, contribute to the regeneration and protection of the epidermis, ensure its water content and promote microcirculation. 
- Magnesium (1.4 to 2.9%): stimulates the production of proteins and cellular exchanges. 
- Copper (2 - 15 mg / kg), Zinc (15 - 60 mg / kg) and Silicon: ensure a good elasticity of the skin by stimulating collagen synthesis. 
- Calcium (26 to 32%), Potassium (0.4 to 2%) and Sodium (0.3 to 4.7%): contribute to a good hydration of the skin. 
- Zinc (15 - 60 mg / Kg) and Sulfur (2.8 to 6%): sebo-regulators they are particularly useful for oily or mixed skin
- Manganese (100 - 480 mg / kg) and Selenium: antioxidants, they act against the signs of skin aging.",,,,,"anti-aging,anti-oxidant,exfoliant,improves skin elasticity,increases collagen synthesis,purifying,reduces wrinkles,regenerating,remineralising,sebum regulator,skin hydration,skin protection,softening","anti-aging,dull skin,mature skin,mixed skin,oily skin,skin hydration","Masks,Soap,Creams,Shower gel,Gels,Exfoliators",checked,"Suspension,Water",,,,,,,,,,1 - 80%,❌,"Incorporate Lithothamne cold, at the end of formulation.
Shake well to homogenize.",,,,room temperature,,,,,,,,,,"kőalga2.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/2L1q6TE1AriH5GJAPI6-sA/fPkd411MaQpskSO9pgl6vCGImK5vywWfYwLzyU55lgnCON7VORT6xLXntaXVToI0j5AxaJZWHQSiX55GfU00KUX0Mt-S5QB9ZNDUq3Yw74s/1-tLUNfoUuIqaqUltQFRmWQX9C3SVGsP_bnpZ-LZ2KI),lithothamne-poudre1.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/67TQDUURTdrmfNvBlYiLVw/XcFvKYRXHxl-v1kRzvG0f9sspSUP3XNXBchsEmURN7F16My8w48BbW85DCApn-sgzftDYaKaTlZW2tDGhVpgc_joKfVy9Fi1uPkYRQP0XOhLw6R_Nue8nNY0PHmGBU_7/hyoaGICvchEcBOX2Mx_oh_YCMxQCDhZ9Hh3kk2na8Qc)",https://www.aroma-zone.com/info/fiche-technique/actif-marin-lithothamne-aroma-zone,,,☠️ Lithothamne / 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,
Litsea cubeba (May Chang) EO,Litsea cubeba,May Chang,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,fruit,steam distilled,"Camphoraceous,Fresh,Fruity,Intense,Lemony,Sweet","Top,Middle",Pale yellow,,,,thin,,,,,,,"High intensity scent,Poor persistence scent",,,"confusion,depression,distraction,fatigue,lack of concentration,loss of good judgement,negative thoughts,pessimism,poor short-term memory,procrastination","antibacterial,antifungal,antiviral,reduces inflammation","acne-prone skin,candida infections,cold sores,dermatitis,dull skin,excessive perspiration,herpes,inflammation,oily skin,sweaty scalp",,,,,,,,,,,,,,❌,,,"Avoid using on sensitive or damaged skin.
Avoid using during the first trimester of pregnancy.",,,,,,,,,,,,Litsea cubeba.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/IVcZMiFuOs5u5XsvWBF5Yw/-7bb_ULN6veCYT-cPDZQJJlL8k2r02B5AwHuWWtLdkZ14RopcxPqBJ4fiqEUwp3wb0ZdtdmBacIvOW0F5vCANKOX-r7Hh-CTIbhC5bLyPWtaVsyqyFZMrQrNNkMm0m_Tl-k4ylzD0b0qziY4_cc3nQ/rgT4_vEARpOHZNF9zkRDWbLnFQ8IkoSE9uvnfG3WP20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Moderate,Not photosensitizing,,,,
Lotus flower,Nelumbo nocifera,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,2377-thickbox_default.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/RAo7CRL_w4PuXCbtaYqJFQ/iEVLHY5FmXra84cyVwS3wuZVH6PcvZLkohQQ6EQ9tkiiuEWmCiO1J69ttAtIZ7cGCNc1dbZlq6OaVK47BSzW-WcKDC2YX3E6baZn_9vpH5GDoBxxTbNRW0mDRTDWIaRL/b1C4GNyx_x8NHabSXHVOo2x9gece5ZYa8yA2Phdt3mo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maca Vital,"Glycerin, Lepidium meyenii root extract",,,,Active,Functional,Accepted,,,,,,,,,"Clear,Yellow,Deep amber",Liquid,"Clear viscous liquid, yellow to amber-brown, with the characteristic vegetable odor of maca",,,1.13,,,,"Cosmetic active stimulating hair growth, slowing down their fall.

Extracted from Maca roots, sacred plant of the Incas known for its revitalizing and invigorating effects, this active ingredient is incorporated in your hair preparations to stimulate hair growth and fight against their fall. A study shows that it can improve the stress resistance of hair bulbs. It is very easily incorporated into your compositions of shampoos, creams or hair lotions.

PROPERTIES
As a hair ingredient, the active ingredient maca vital is recognized for these properties:
Stimulates hair growth , increasing cell multiplication in the hair bulb
Fortifies the hair x : the multiplication of the cells is increased in the epithelial sheath, which is the nourishing reserve of the hair, at the level of the capillary bulb and which makes it possible to develop the hair. A healthy epithelial sheath will therefore give stronger hair.
Fight against hair loss :
by increasing the resistance of the hair bulb to stressors (pollution, tobacco ...)
by increasing the density of collagen in the scalp support tissue, which improves the hair's scalp adhesion .
USES
This active ingredient is used as an ingredient in your hair care preparations:

Hair growth
Soft, tired hair care
Care to fight against hair loss
SOME IDEAS
Shampoo stimulating ""hair growth""
Shampoo to fight against hair loss
Fortifying hair lotion

Maca Lepidium meyenii is a plant with a taproot of the family Brassicaceae native to the High Peruvian Andes . Cultivated since the Neolithic at altitudes of over 3500 ml, it is one of the few plants that can survive in the semi-desert conditions of the Andes highlands: intense sun and heat during the day, freezing cold at night, winds violent eroding soil and desiccate plants. 

The maca tuber is used as a food, usually in the form of cooked flour to make pancakes, biscuits, cakes, drinks ... 

Maca root has a very interesting nutritional composition and quite complete, with a  wide variety of amino acids, carbohydrates, trace elements, and fatty acids . It is known for bringing  energy, strength and endurance  and is used in  traditional Peruvian medicine  to fight against winter discomfort, depression and fertility problems, which earned it its reputation as "" Inca vitality secret "". Sometimes called ""Peruvian ginseng"", maca also has aphrodisiac properties. 

Maca root contains compounds of the features, the macaenes and macamides that could explain the properties of Maca and the active Maca vital.","Extraction of Maca roots with an ethanol / water mixture, evaporation of the solvent then placed on vegetable glycerine support.",,,,,"eye toner,fights hair loss,helps stimulate collagen synthesis,improves hair strength,promotes hair growth,skin toner","eye contour,hair growth,hair loss,mature skin,thin hair","Masks,Shampoo,Lotions,Gels,Body milk,Creams,Eye contour products,Leave-on hair treatments,Hair styling",checked,Water,,,,,,,,,,1 TO 5%,❌,,,,,,,,,,,,,,,,,,,☠️ Maca Vital / 277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macadamia Nut Oil,Macadamia Integrifolia (Macadamia) Seed Oil or Macadamia Ternifolia (Macadamia) Seed Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,"Pale yellow,Golden yellow",,,,,,,,,,,Very penetrating,penetration enhancer,,,,,,,,,,,76,74,74 - 76,,,,,❌,,,,,,,,,,,,,,,Macadamia Nut Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/IyZI15FHivUGS_DVPLYZEA/Ns6t9NNqnJAM57TsqZmK-kQef265hb710Ar0itMkY1-c27LGffBNctYoa-pUjEq0bMBGOB5L_w-oIMPNxqzb8r4CM41qEikXQjyZGIX2f9tYVxasSkiz9b-rBUKCaoEi6hyOWWnhzk0a3xWtN5VP3g/O7sRDAszFqBZLQGaWyhuFkImHb-ANHTdyl4nOXziB1E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oleic Acid,,,,,,,,,,,,
